<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20120727;000000;1622.69995;1635.40002;1620.90002;1629;36745
20120730;000000;1624;1630;1616.59998;1627.4;15276
20120731;000000;1628.8;1634;1616.19995;1618.80005;22883
20120801;000000;1619.80005;1624.5;1595;1605.69995;47380
20120802;000000;1607.09998;1621.1;1587.59998;1593;54569
20120803;000000;1594.30005;1611.19995;1590.59998;1609;29414
20120806;000000;1610.90002;1619.9;1608.69995;1617;21137
20120807;000000;1617;1622.5;1613;1615.69995;17508
20120808;000000;1615.5;1620;1603;1616.69995;16958
20120809;000000;1618.90002;1621.8;1612.69995;1621.5;10988
20120810;000000;1619.1;1630.4;1607.2;1624.40002;17591
20120813;000000;1624.69995;1627.90002;1610.7;1612.5;16208
20120814;000000;1614.3;1620;1593;1602.80005;33172
20120815;000000;1604.5;1614.3;1594;1607.1;29047
20120816;000000;1607.1;1624.19995;1604.1;1616.40002;21460
20120817;000000;1617;1623.19995;1613.90002;1617.59998;19313
20120820;000000;1618.59998;1625.69995;1612.19995;1624.69995;17339
20120821;000000;1625.5;1646.19995;1625.09998;1640.40002;32190
20120822;000000;1640.90002;1659.40002;1638.5;1659.19995;35633
20120823;000000;1660;1678.5;1660;1673;30511
20120824;000000;1671;1677.19995;1665.8;1674;17486
20120827;000000;1674.90002;1679;1664.09998;1667.30005;19917
20120828;000000;1665.5;1673.5;1660.69995;1667.8;23580
20120829;000000;1668.7;1670.8;1653.2;1658.90002;31130
20120830;000000;1658.90002;1665.19995;1653.2;1658.2;23154
20120831;000000;1657.8;1693;1646.1;1693;58288
20120903;000000;1692;1699.40002;1685.40002;1697;14826
20120904;000000;1693.5;1699.59998;1689;1696.19995;35931
20120905;000000;1696.90002;1696.90002;1687.69995;1694.1;32304
20120906;000000;1694.5;1715.8;1694.5;1703.40002;48652
20120907;000000;1702;1740;1691;1735.19995;36429
20120910;000000;1743.4;1745;1733.2;1733.3;3599
20120911;000000;1735.09998;1750;1733.90002;1739;2644
20120912;000000;1742.09998;1758.80005;1734.80005;1738.80005;11313
20120913;000000;1739;1780.19995;1727.80005;1773.30005;24194
20120914;000000;1779.40002;1788.69995;1776.30005;1782.09998;60591
20120917;000000;1784.40002;1785;1763.80005;1766.90002;44080
20120918;000000;1764.09998;1783;1761.90002;1781.40002;31231
20120919;000000;1782;1793;1770.69995;1780.2;23150
20120920;000000;1779.7;1779.7;1762.4;1774.59998;31969
20120921;000000;1777;1797.30005;1776.59998;1781.90002;48476
20120924;000000;1780.80005;1780.80005;1765;1774;25297
20120925;000000;1769.09998;1785.40002;1767.09998;1770.40002;25978
20120926;000000;1771.69995;1774.59998;1746;1760.9;44710
20120927;000000;1763.7;1788.69995;1761.7;1784.30005;36842
20120928;000000;1787.69995;1791.69995;1776.19995;1781.90002;31473
20121001;000000;1781.69995;1801;1773.69995;1784.3;52209
20121002;000000;1787.8;1793.5;1777;1781.19995;27815
20121003;000000;1783;1789.90002;1780.19995;1787.9;26284
20121004;000000;1788;1804.90002;1786.3;1801;50287
20121005;000000;1800;1803;1781.09998;1787.9;53568
20121008;000000;1786;1786;1774;1782.7;18663
20121009;000000;1784.6;1787.6;1768.2;1773.3;40714
20121010;000000;1772.2;1777.1;1765.3;1771.4;20317
20121011;000000;1773;1783.8;1772;1778;18722
20121012;000000;1778.7;1782.1;1762;1765.7;18248
20121015;000000;1763.6;1763.6;1732.1;1739.9;53880
20121016;000000;1742.8;1751.1;1740.9;1750.1;19175
20121017;000000;1750.8;1759;1747;1752.9;25869
20121018;000000;1752.4;1755.3;1741.7;1745.5;19581
20121019;000000;1745;1745;1720.5;1725.7;29699
20121022;000000;1727.4;1733.7;1725.1;1732.6;23744
20121023;000000;1731.5;1731.5;1707.7;1709.9;32332
20121024;000000;1712;1715.8;1702.5;1706.4;26223
20121025;000000;1710;1722;1710;1717.2;22460
20121026;000000;1715;1722.5;1702.5;1715;37877
20121029;000000;1717;1721.8;1706;1713.3;18118
20121030;000000;1713.3;1721.8;1712.3;1713.7;6485
20121031;000000;1715.8;1730.8;1715.3;1725.1;40017
